id,timestamp,combined_elec_kwh,combined_heat_kwh,combined_cop,combined_data_length,combined_elec_mean,combined_heat_mean,combined_flowT_mean,combined_returnT_mean,combined_outsideT_mean,combined_roomT_mean,combined_prc_carnot,running_elec_kwh,running_heat_kwh,running_cop,running_data_length,running_elec_mean,running_heat_mean,running_flowT_mean,running_returnT_mean,running_outsideT_mean,running_roomT_mean,running_prc_carnot,space_elec_kwh,space_heat_kwh,space_cop,space_data_length,space_elec_mean,space_heat_mean,space_flowT_mean,space_returnT_mean,space_outsideT_mean,space_roomT_mean,space_prc_carnot,water_elec_kwh,water_heat_kwh,water_cop,water_data_length,water_elec_mean,water_heat_mean,water_flowT_mean,water_returnT_mean,water_outsideT_mean,water_roomT_mean,water_prc_carnot,cooling_elec_kwh,cooling_heat_kwh,cooling_cop,cooling_data_length,cooling_elec_mean,cooling_heat_mean,cooling_flowT_mean,cooling_returnT_mean,cooling_outsideT_mean,cooling_roomT_mean,cooling_prc_carnot,combined_cooling_kwh,combined_starts,combined_starts_per_hour,from_energy_feeds_elec_kwh,from_energy_feeds_heat_kwh,from_energy_feeds_cop,quality_elec,quality_heat,quality_flowT,quality_returnT,quality_outsideT,quality_roomT,error_air,error_air_kwh,unit_rate_agile,unit_rate_cosy,unit_rate_go,userid,published,last_updated,location,installer_name,installer_url,url,share,hp_model,hp_type,hp_output,refrigerant,dhw_method,cylinder_volume,dhw_coil_hex_area,new_radiators,old_radiators,fan_coil_radiators,UFH,hydraulic_separation,flow_temp,flow_temp_typical,wc_curve,freeze,zone_number,space_heat_control_type,dhw_control_type,dhw_target_temperature,legionella_frequency,legionella_target_temperature,property,floor_area,heat_demand,heat_loss,age,insulation,electricity_tariff,electricity_tariff_type,electricity_tariff_unit_rate_all,electricity_tariff_unit_rate_hp,solar_pv_generation,solar_pv_self_consumption,solar_pv_divert,battery_storage_capacity,electric_meter,heat_meter,metering_inc_boost,metering_inc_central_heating_pumps,metering_inc_brine_pumps,metering_inc_controls,notes,mid_metering,kwh_m2,design_temp,water_heat_demand,EPC_spaceheat_demand,EPC_waterheat_demand,heatgeek,indoor_temperature,betateach,emoncmsorg_userid,installer_logo,ultimaterenewables,heatingacademy,youtube,data_flag,data_flag_note,hp_max_output,measured_base_DT,measured_design_DT,measured_heat_loss,measured_heat_loss_range,hp_max_output_test,volumiser,legionella_immersion,metering_inc_immersion,uses_backup_heater,metering_inc_secondary_heating_pumps,weighted_average_flow_minus_outside,measured_mean_flow_temp_coldest_day,measured_max_flow_temp_coldest_day,measured_outside_temp_coldest_day,measured_emitter_spec,measured_system_volume,weighted_average_ideal_carnot,weighted_flow_temp
422,False,1501.21,6753.19,4.4984978783781076,6546670,975.817,4420.05,33.5583,30.3582,3.26965,19.476000000000003,63.5279,1475.9,6715.63,4.55019310251372,4262050,1470.78,6754.04,37.5667,33.2629,3.49685,19.547300000000003,63.3957,1160.06,5424.77,4.676283985311105,2843950,1552.4599999999998,7254.35,38.1109,33.1895,2.50911,19.5342,65.5042,106.781,407.161,3.8130472649628677,153300,2522.02,9648.01,51.249,45.5977,3.29507,19.7315,66.2265,0.0,0.0,,0,,,,,,,,0.05,202,0.11107937317750857,1499.2,-2687.0,-1.7922892209178227,96.7652,95.9196,96.6184,96.6184,96.6272,69.0376,2940,1.22251,24.1,21.9,26.6,445,1,1729340028,"Daisendorf, Germany",Markhart and Sulger,https://www.markhartsulger.de/,https://emoncms.org/app/view?name=MyHeatpump&readkey=724e5c274282c6f2f630e9bc2f9b3d1b,1,Weishaupt Geoblock WGB8,Ground Source,8.0,,Cylinder with plate heat exchanger,0,0.0,0,0,0,0,Buffer,40.0,,0.0,Glycol/water mixture,1,,,0.0,Disabled,0,Semi-detached,240.0,0,1.0,1983 to 2011,"Fully insulated walls, floors and loft",,,,,0,0,0,0,Other Modbus/MBUS meter (class 1),Kamstrup heat meter (class 2),1,1,1,1,,1,,-10.0,0,,,0,1,,0,,0,0,,1,Shows measured heat when compressor is off,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
420,False,1357.86,4039.41,2.9748354027661175,7542460,769.368,2281.11,30.3362,28.7098,5.57366,23.7057,42.2198,1260.25,3964.61,3.145891688157112,2392770,1913.17,6018.81,35.3908,31.7897,4.87209,23.5434,41.7487,815.126,3049.53,3.7411762107944053,1985910,1484.3799999999999,5585.35,31.790400000000005,28.5268,4.42085,23.477999999999998,44.5776,445.122,915.076,2.055786952790471,406860,3954.26,8183.45,52.2325,46.97,6.49376,23.8073,34.53,0.0,0.0,,0,,,,,,,,94.772,1051,0.5016400484722491,1354.68,4303.0,3.1763959016151415,98.0865,99.9884,99.9884,99.9884,99.1808,99.1851,0,0.0,23.0,22.9,25.1,425,1,1729173455,"Bucharest, Romania",,,https://emoncms.org/app/view?name=zuby&readkey=aabf4d79511c82d707f692b3ab553797,1,Zubadan ,Air Source,11.2,R410A,Cylinder with coil,200,2.0,1,0,0,1,None,32.0,,0.0,Not applicable,1,Weather compensation with simple set point control,Automatic top up of tank if temperature drops by 6-10C,50.0,Fornightly,60,Bungalow,150.0,6600,0.0,2012 or newer,"Fully insulated walls, floors and loft",,,,,19000,65,0,10,Heat pump integration,Kamstrup heat meter (class 2),0,1,0,1,"Model: PUHZ-SHW112YHA, no installer assesment, design temp is what is currently set at",0,,-3.0,3500,,,0,1,,0,,0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,32.5016,0.0,0.0,0.0,0.0,0,8.18061,42.9373
418,False,1319.35,3803.71,2.8830181528783116,6784350,836.149,2369.95,30.0916,26.3319,7.09867,22.2551,39.7888,1294.66,3799.62,2.9348400352216024,2971820,1622.08,4793.209999999999,35.95419999999999,32.5689,6.8363,22.4173,39.7463,1293.46,3799.62,2.9375628160128646,2970890,1621.92,4793.28,35.9541,32.5687,6.8363,22.4173,39.7482,1.1991,0.0015,0.0012509382036527395,930,4641.5,5.8,34.41,31.7,18.05,23.17,0.014999999999999998,0.0,0.0,,0,,,,,,,,171.705,1220,0.6473722611598752,1320.39,3805.47,2.882080294458455,98.2379,98.1533,98.1816,98.1803,98.1795,98.1795,1720,0.779044,21.8,21.2,22.8,441,1,1733478189,Norfolk,Octopus Energy Services,https://octopus.energy/get-a-heat-pump/,https://emoncms.org/app/view?name=Altherma39kW&readkey=6d594a2b06e28cb25d7906e4f14930c5,1,Daikin Altherma 3 (EDLA09DA3V3),Air Source,9.0,R32,Cylinder with coil,300,0.0,1,0,0,0,None,50.0,,0.0,Anti-freeze valves,1,,Daily scheduled heat up of tank,0.0,Weekly,60,Detached,140.0,0,8.0,1940 to 1982,Some insulation in walls and loft,,,,,0,0,0,20,Other electricity meter,Heat pump integration,1,1,0,1,System installed August 2022,0,,-2.4,0,,,0,1,,0,octopus.png,0,0,,0,Immersion data added 19/10/24,9.0,5.3,23.0,4.04,0.5,0.0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
417,False,1915.62,5807.41,3.031608565373091,7487940,1107.14,3214.65,30.5358,28.227,6.725569999999999,20.0654,39.9006,1893.03,5795.96,3.0617370036396676,3985880,1735.2799999999997,5286.6,35.8749,31.5969,6.68275,20.0348,39.7884,0.0,0.0,,0,,,,,,,,93.44,309.237,3.309471318493151,194810,1735.9299999999998,5792.89,36.9906,32.4878,9.6896,20.5492,41.124,0.0,0.0,,0,,,,,,,,231.222,1203,0.5783700189905369,2918.33,6288.0,2.154656944211244,96.2954,99.0643,99.0643,99.0643,99.9537,98.5805,75260,65.4233,19.3,19.0,27.0,438,1,1729341010,Glasgow,Flo Renewables,https://florenew.com/,https://emoncms.org/app/view?name=MyHeatpump&readkey=2d59930444af492a46d504928172bed6,1,Daikin Altherma 3,Air Source,11.0,R32,Cylinder with coil,250,0.0,1,0,0,0,Buffer,45.0,,0.0,Central heat pump water circulation,1,Weather compensation with simple set point control,Daily scheduled heat up of tank,50.0,Disabled,0,Detached,160.0,0,9.0,1940 to 1982,"Fully insulated walls, floors and loft",,,,,0,0,0,0,SDM120 Modbus/MBUS Single Phase (class 1),Axioma Qalcosonic heat meter (class 2),0,1,0,0,,1,,-3.0,0,,,0,1,,0,florenew.png,0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
416,False,1853.71,7630.37,4.116269535148432,7691150,996.906,3976.76,32.2683,30.451900000000002,7.70048,21.0003,48.6759,1836.96,7581.36,4.127123072903057,4287760,1570.31,6423.7,35.078,32.2972,7.68377,21.0105,48.3816,1575.38,6781.23,4.30450431007122,3888890,1496.3,6354.19,34.2135,31.4868,7.65434,21.0472,49.1192,261.573,800.133,3.058928100377333,398870,2361.95,7313.29,43.9266,40.5317,7.96007,20.5262,42.9976,0.0,0.0,,0,,,,,,,,89.217,1187,0.5555996177424702,1856.1,7733.0,4.166262593610258,98.9086,98.9085,98.9085,98.9085,99.9537,90.6884,0,0.0,23.8,22.6,24.6,437,1,1729008466,Surrey,Clean Heat Solutions,https://cleanheatingsolutions.co.uk,https://emoncms.org/app/view?name=MyHeatpump&readkey=bb6ee3a210b580ee0d7351407f983a16,1,Vaillant Arotherm+,Air Source,10.0,,Cylinder with coil,0,0.0,0,0,0,0,None,40.0,,0.0,Anti-freeze valves,1,,,0.0,Weekly,0,Detached,350.0,0,9.8,1940 to 1982,Some insulation in walls and loft,,,,,0,0,0,0,SDM120 Modbus/MBUS Single Phase (class 1),Axioma Qalcosonic heat meter (class 2),0,1,0,1,,1,,-2.0,0,,,1,1,,0,cleanheatingsolutions.png,0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
412,False,1101.92,5414.43,4.913632568607522,7434490,848.262,5035.7,28.4822,26.225999999999996,7.99943,18.4984,70.7409,1082.39,5657.07,5.226461811361893,3495020,1164.25,5975.700000000001,30.0939,27.08,7.715449999999999,18.5246,54.027899999999995,1006.58,5467.5,5.431759025611476,3377290,1121.28,5980.07,29.6623,26.7038,7.689020000000001,18.5237,55.2,75.802,189.575,2.500923458483945,117730,2362.34,6609.14,41.5436,36.882,8.27225,18.6005,36.7246,0.0,0.0,,0,,,,,,,,447.607,1987,0.9621641834207861,1122.52,5992.0,5.337989523571963,96.7454,95.8374,95.8374,95.8374,99.9537,33.4294,41350,26.4817,22.8,22.4,23.8,432,1,1733145662,"Exeter, Devon",CB Plumbing & Heating Ltd,https://cbplumbingandheating.co.uk/,https://emoncms.org/app/view?name=MyHeatpump&readkey=da84fd1eaccd1ecf42f82d71edfe402c,1,Mitsubishi Ecodan,Air Source,11.2,,Cylinder with coil,300,3.0,1,0,0,1,None,45.0,,0.0,Anti-freeze valves,1,Weather compensation with a little room influence,Daily scheduled heat up of tank,45.0,Other,65,Detached,246.0,24144,10.92,1983 to 2011,"Fully insulated walls, floors and loft",,,,,3450,100,1,0,SDM120 Modbus/MBUS Single Phase (class 1),Axioma Qalcosonic heat meter (class 2),0,1,0,1,,1,,-2.0,5895,,,1,1,,0,cbplumbingandheating.png,0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
409,False,937.609,2937.68,3.133161051141787,7361130,537.127,1667.89,30.0305,28.0077,6.78952,17.8093,41.1679,908.241,2890.13,3.1821179620827515,2946740,1122.97,3564.3,36.5488,33.5925,6.62371,17.7451,40.5723,594.016,2466.67,4.152531244949631,2270040,966.8070000000001,3955.7399999999993,33.7893,30.9025,6.15231,17.7327,49.5575,314.225,423.466,1.3476521600763782,676700,1667.05,2778.71,45.6443,42.3571,8.83432,17.9458,23.0578,0.0,0.0,,0,,,,,,,,45.619,718,0.3511417404664773,979.217,3174.0,3.2413652949244143,94.6658,99.1024,99.1024,99.1024,99.9537,95.771,386540,198.882,25.3,23.1,24.9,378,1,1733814975,Malvern,Malvern Solar,https://malvernsolar.co.uk,https://emoncms.org/app/view?name=MyHeatpump&readkey=7e225a2905fc360dc4dfaec463dca280,1,Vaillant Arotherm+,Air Source,7.0,,Cylinder with plate heat exchanger,150,0.0,1,1,0,1,None,45.0,,0.8,Anti-freeze valves,2,Weather compensation with simple set point control,Twice daily scheduled heat up of tank,0.0,Weekly,60,Detached,122.0,21,8.16,1900 to 1939,Some insulation in walls and loft,,,,,2,46,1,5,SDM120 Modbus/MBUS Single Phase (class 1),Axioma Qalcosonic heat meter (class 2),0,1,0,1,Mixergy 150L cylinder with plate heat exchanger,1,,-3.66,4,,,0,1,,0,malvernsolar.png,0,1,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
408,False,399.711,1568.08,3.9230343923484714,7707880,260.608,1020.53,26.7622,24.150799999999997,8.09461,,48.1369,384.039,1546.1,4.025893203554848,1740010,803.569,3224.9,36.2421,33.1975,8.17286,,47.468999999999994,226.549,980.086,4.32615460672967,1153060,725.517,3107.67,32.0254,28.8325,6.7367,,47.9594,157.489,566.01,3.5939652928141013,586950,967.061,3489.45,44.3132,41.5072,10.7349,,46.679,0.0,0.0,,0,,,,,,,,12.222,447,0.20877335921161203,399.699,1567.88,3.9226517954760958,99.124,99.1242,99.1242,99.1242,99.124,0.0,0,0.0,21.3,17.2,25.9,429,1,1728598593,London,Self-Install,,https://emoncms.org/app/view?name=MyHeatpump&readkey=9acbfbc08b182a25d85d848ae3cf1944,1,Vaillant Arotherm+,Air Source,5.0,R290,Cylinder with coil,200,1.4,0,0,1,1,Buffer,45.0,,0.4,Glycol/water mixture,3,"Pure weather compensation, no room influence",Not applicable,50.0,Disabled,0,Mid-terrace,169.0,4114,4.0,Pre-1900,Passivhaus,,,,,2400,65,0,0,Heat pump integration,Heat pump integration,0,0,0,0,,0,,-3.0,2925,,,0,0,,0,,0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
407,False,1961.09,6434.02,3.280838717243982,7384090,1101.26,3580.51,39.6531,36.7939,8.14537,21.8826,46.030800000000006,1950.29,6422.32,3.293007706546206,4753050,1506.0,4953.68,43.29120000000001,39.4131,7.86888,21.849499999999995,45.8983,1659.69,5749.19,3.4640143641282406,4412350,1381.32,4760.96,43.0848,39.214,7.80016,21.8467,47.668800000000005,290.594,673.13,2.3163933185131147,340700,3220.77,8503.95,46.7931,42.5874,8.38042,21.8699,39.217,0.0,0.0,,0,,,,,,,,28.532,1062,0.517761836597333,1990.78,6574.0,3.302223249178714,97.1188,98.3897,98.3897,98.3897,99.9526,97.9634,87740,103.301,22.6,21.8,24.2,428,1,1728421812,East Sussex,Self-Install,,https://emoncms.org/app/view?name=MyHeatpump&readkey=325dea3700084e9efc1962cb2f82a401,1,Samsung Gen 6,Air Source,16.0,R32,Cylinder with coil,300,0.0,1,1,0,0,Buffer,50.0,,-3.0,Central heat pump water circulation,1,,Automatic top up of tank if temperature drops by 3-6C,48.0,Disabled,0,Detached,210.0,0,14.7,1900 to 1939,"Cavity wall, plus some loft insulation",,,,,6080,100,0,45,SDM120 Modbus/MBUS Single Phase (class 1),Axioma Qalcosonic heat meter (class 2),0,1,0,1,,1,,-3.0,0,,,0,1,,0,,0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
405,False,1772.82,6691.99,3.7747712683746797,7694520,968.134,3467.66,36.0815,32.5673,5.61726,20.3405,51.608,1764.91,6691.02,3.7911394915321464,6576030,1045.62,3819.87,36.8702,32.9847,5.49896,20.3364,51.5841,1547.57,5989.09,3.8699961875714832,5995000,1016.76,3763.05,36.4576,32.5622,5.40793,20.343,52.0997,180.497,522.026,2.892158872446633,362290,1830.12,5718.7,44.8147,40.6551,6.08937,20.5446,47.4096,0.0,0.0,,0,,,,,,,,239.472,1355,0.6339576737730228,1775.98,6949.0,3.9127692879424316,98.9523,99.0081,99.0081,99.0081,99.9537,99.0426,2200,1.1402,22.9,22.8,24.1,173,1,1728405482,"Huntly, Aberdeenshire",Tony Lake,,https://emoncms.org/app/view?name=Glebe+Steading&readkey=3fa6503d7658dcd32faac9d26fc6f9b2,1,Panasonic Aquarea L,Air Source,7.0,R290,Cylinder with coil,290,3.0,1,0,0,1,None,35.0,,0.0,Anti-freeze valves,1,"Pure weather compensation, no room influence",Daily scheduled heat up of tank,45.0,Flexible,60,Detached,125.0,14388,5.7,2012 or newer,"Fully insulated walls, floors and loft",,,,,0,0,0,0,SDM120 Modbus/MBUS Single Phase (class 1),Axioma Qalcosonic heat meter (class 2),1,1,0,1,,1,,-5.46,5593,,,0,1,,0,,0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
